generation,track_length,average_distance,proportion_completed_track,average_proportion_of_track_completed
0,40.516349872751405,19.98704844713211,0.4,0.49330822025934934
1,39.29653855500033,8.861026453971864,0,0.22549127174572306
2,38.50648594589887,9.318915486335754,0,0.2420089825757851
3,39.4920894419982,4.5924241781234745,0,0.11628719176452643
4,38.72480813127949,7.615369153022766,0,0.19665350250945582
5,39.074369903187666,16.716204738616945,0.4,0.4278048444551692
6,39.35415086561901,14.514591813087463,0,0.36881984476427504
7,39.917060917696844,9.160154104232788,0.2,0.2294796734438863
8,40.92395725238414,9.387088894844055,0.2,0.229378816837103
9,39.85477417942095,9.451892685890197,0.2,0.23715835506529329
10,39.897941966565234,13.712251448631287,0,0.3436831769448723
11,38.44223069323377,17.43587021827698,0.2,0.45356031384895346
12,38.65125961173027,8.18961501121521,0,0.2118848154881282
13,39.556736451943294,2.8088322401046755,0,0.0710076839507999
14,40.49889962464593,17.582026743888854,0.4,0.4341359125024022
15,39.646806371984404,5.48902153968811,0,0.13844801238686438
16,39.06577043180319,1.9531832218170166,0,0.04999730455147873
17,39.48731907303795,16.999479579925538,0.4,0.43050477923007
18,39.298604304090844,24.414396047592163,0.6,0.6212535147221682
19,38.53262168301443,6.186075925827026,0,0.16054126751915015
20,40.76938775182642,9.546271467208863,0.2,0.23415292683126449
21,40.48926770852126,9.787868165969849,0.2,0.24173981699130412
22,40.67421625654981,9.337259197235108,0.2,0.2295621171491293
23,40.8997681183163,10.355684041976929,0.2,0.2531966443433038
24,40.475441712117984,9.64465253353119,0.2,0.238284058815933
25,39.93867908242164,10.68461844921112,0.2,0.26752558408757643
26,40.11521240810798,21.861131191253662,0.4,0.54495862987965
27,39.14446130152625,3.271885704994202,0,0.08358489544130297
28,40.411002029706424,10.020774221420288,0.2,0.24797143644332162
29,38.734985560984164,9.320136642456054,0.2,0.2406128854180797
30,40.892509314177936,22.32789123058319,0.4,0.5460142115280228
31,37.361706357354336,8.535399532318115,0,0.22845315068534053
32,38.81527071792006,9.326325750350952,0.2,0.24027465422378766
33,38.16399278921323,6.905350518226624,0,0.18093889065450117
34,39.966393817693955,17.021866869926452,0.4,0.42590449735273633
35,39.22379944403382,16.43514485359192,0.4,0.4190095066400255
36,40.64569712505562,1.5983810424804688,0,0.03932472944338217
37,39.60166762369299,5.7393592357635494,0,0.1449272109018407
38,40.5692709438941,15.66684684753418,0.2,0.3861752129881971
39,39.8287655853309,8.903244709968567,0,0.2235380529405026
40,39.915704450381796,13.554657220840454,0,0.3395820619347933
41,40.12686902367107,9.75361533164978,0.2,0.2430694337476484
42,39.05106337600935,4.707186269760132,0,0.12053925969790484
43,39.03774187217238,13.971725821495056,0.2,0.35790302285529085
44,39.651749878404885,8.990409922599792,0,0.2267342538518368
45,39.573618062887846,15.115057778358459,0,0.3819478359127685
46,39.773633753090834,16.771126484870912,0.4,0.42166442696646034
47,39.9538700165956,22.124160051345825,0.4,0.5537426047127884
48,39.69464996313272,23.59922730922699,0.2,0.5945190934079352
49,40.12397980973876,25.438525438308716,0.6,0.6339980619802416
