generation,track_length,average_distance,proportion_completed_track,average_proportion_of_track_completed
0,39.1244182317172,11.82886769771576,0.1,0.3023397722531856
1,39.06930911637649,8.121599078178406,0,0.20787670071120135
2,38.34522734966699,17.157527089118958,0.4,0.44744882935915
3,40.66008331808351,12.778722977638244,0,0.31428177059231277
4,40.93539037141145,18.12929241657257,0.4,0.44287576720494026
5,40.694757987480564,24.36301181316376,0,0.598676906265393
6,39.71508823577148,14.605532836914062,0,0.36775778389833264
7,39.510279935711324,16.627953481674194,0.2,0.4208513204343317
8,40.296518533901725,31.626748156547546,0.6,0.7848506349237033
9,40.33211099761906,2.904079270362854,0,0.07200414752737072
10,40.02077795826849,20.08469636440277,0.2,0.501856720160363
11,39.148632782946734,1.8291568040847779,0,0.04672338914685072
12,39.33766044852212,26.388066053390503,0.4,0.6708092385901377
13,37.415240957609115,19.561090898513793,0.4,0.522810769030626
14,40.486760141691526,29.753984093666077,0.6,0.7349065222689108
15,39.31717182327678,17.457486152648926,0.4,0.4440168339451528
16,39.14650705201444,14.64729971885681,0,0.3741661982611824
17,41.23821301651542,17.325943207740785,0.2,0.42014291940346565
18,38.55322367217768,21.149673056602477,0.4,0.5485837769738916
19,37.29806064519603,20.53925907611847,0,0.550679009064347
20,40.220580506884225,27.516364693641663,0.2,0.6841364382826824
21,40.0934438812897,30.915063047409056,0.2,0.7710752695364268
22,39.671893774949545,10.920414638519286,0,0.2752682970081676
23,40.47481212211903,14.391499733924865,0.2,0.35556680758649084
24,39.360361832468804,19.778226232528688,0.2,0.502490965827794
25,39.22377599702665,31.953619027137755,0.8,0.8146492328928249
26,40.40911161150466,24.869777607917786,0.2,0.6154497492302514
27,38.50365281734682,16.86956729888916,0.4,0.4381290102244277
28,40.27551401320178,20.77663657665253,0.2,0.5158627291470997
29,40.922462885175484,17.938678479194643,0.4,0.438357743265083
30,39.10590400725662,12.83367600440979,0.2,0.32817745376831925
31,41.13935084347843,11.763505244255066,0,0.2859428990265621
32,39.762217817221824,24.593220663070678,0.6,0.6185072667757193
33,39.62490956892953,21.2306227684021,0.2,0.5357898099797643
34,40.67740885167422,24.20254020690918,0.2,0.5949872641878722
35,39.99439284377124,13.21979055404663,0,0.33054109874068244
36,40.01371792318929,16.308128976821898,0,0.40756345131754906
37,40.17790625554951,24.962146067619322,0.2,0.6212903656265429
38,37.23392830677165,13.004477477073669,0.2,0.34926418104287354
39,40.17881303071207,7.846030306816101,0,0.19527780227899505
40,39.64517037798727,13.538705492019654,0,0.34149696830504567
41,39.43044512475041,22.226559805870057,0.2,0.5636903092407265
42,40.915082764873105,25.630885648727418,0.4,0.6264410070002925
43,40.70192542370471,18.563358783721924,0.4,0.45608060529025163
44,39.97567618699512,24.72909834384918,0.6,0.6186036285708669
45,39.34293165094767,22.477006435394287,0.4,0.5713099022414329
46,38.727887682799896,21.229451775550842,0.4,0.5481696277739263
47,39.65143470581918,23.210567045211793,0.4,0.5853651253079488
48,39.77109770906435,19.82722136974335,0.2,0.4985334202939153
49,39.552907467543776,24.35816991329193,0.6,0.615837658287945
50,38.758151485677224,26.81958940029144,0,0.69197287208608
51,38.971186415127534,22.4548344373703,0.4,0.5761906809348242
52,39.6536328191654,23.353496766090394,0.4,0.5889371315004253
53,38.60427417647409,29.202676677703856,0.4,0.7564622648831024
54,39.10149289410414,25.66644330024719,0.4,0.6564057124304138
55,39.25392361840861,20.248740243911744,0.2,0.5158399053493813
56,40.157734783844504,20.81271731853485,0,0.5182741862946868
57,39.98699824265028,25.21195192337036,0.4,0.6305037394999857
58,39.78879179101531,30.92696566581726,0.6,0.7772783307484311
59,39.88658168865804,14.202670931816101,0,0.3560764129319887
60,40.002471806229856,18.30556516647339,0.4,0.45761085102802423
61,39.47311207915498,27.63309383392334,0.4,0.7000485236256775
62,39.737785802201394,13.125832462310791,0,0.3303111181797061
63,38.916030857088565,14.092483282089233,0.2,0.3621254010677783
64,39.33330134932249,29.326569509506225,0.2,0.7455913565213964
65,38.78898823849839,24.287243127822876,0.4,0.6261375774611617
66,40.98834538832814,20.65009274482727,0.4,0.5038040093881808
