generation,track_length,average_distance,proportion_completed_track,average_proportion_of_track_completed
0,38.36982952485569,20.21257140636444,0.4,0.5267829348387093
1,38.6617134066177,7.777318334579467,0,0.2011633124684078
2,39.46853336407647,9.276236939430238,0.2,0.23502867091264396
3,40.228267285885416,2.0681180238723753,0,0.051409572507190734
4,39.735868457900246,9.471653199195861,0.2,0.23836532500179236
5,39.781922555422696,9.40766146183014,0.2,0.23648081484055314
6,40.83518107049262,17.610047006607054,0.2,0.4312469430760532
7,40.24190683375367,14.213064765930175,0,0.35319063842195214
8,40.55441512214452,17.120133018493654,0.4,0.4221521372439988
9,39.02781964455089,16.643522143363953,0,0.4264527789393877
10,40.57521975645622,13.095732259750367,0,0.322751973701057
11,39.177915787303235,21.49056930541992,0.4,0.5485378400957351
12,39.92885862402138,1.8213435649871825,0,0.045614716467038054
13,39.81869012327116,22.360898470878602,0,0.5615679069716627
14,39.753884385838674,10.55704972743988,0,0.26556020601600794
15,39.83442295983141,7.786331129074097,0,0.1954674010698171
16,40.35819111626975,14.818772053718567,0,0.3671812745776066
17,39.52025090205394,6.705113077163697,0,0.16966271529453322
18,40.24157581939608,12.336963295936584,0,0.3065725694069435
19,40.04212490961278,15.131912064552306,0,0.3778998267127337
20,38.7282020409366,14.713875913619995,0,0.3799266461703306
21,39.19116553310289,22.196935772895813,0,0.5663760051776753
22,39.595880804387534,9.069442749023438,0.2,0.2290501578643623
23,38.65672396191689,1.8561217546463014,0,0.048015495479515564
24,40.04192919935754,27.964764165878297,0.6,0.6983870339176111
25,40.156021321884225,13.501986837387085,0,0.3362381628687096
26,38.67726663961036,34.090166854858396,0.2,0.8814006215202861
27,40.80844785645669,16.59911181926727,0,0.4067567548183769
28,39.7663809795006,14.994765448570252,0.2,0.377071412565805
29,38.27530226520213,18.375356221199034,0,0.48008389571634896
30,39.589517683893654,26.113247776031493,0.2,0.6596000482889247
31,40.938316487405686,10.371427154541015,0.2,0.2533427860359547
32,40.29426403986329,33.237086868286134,0.4,0.8248590130695659
33,38.75116196092508,16.284123611450195,0.2,0.42022284719798514
34,40.85236038470144,11.348618698120116,0.2,0.2777959116988989
35,38.96889840160389,30.83712968826294,0,0.7913266977799337
36,39.27405157386145,28.643019914627075,0.2,0.7293115623876764
37,40.41132680795873,30.202052116394043,0,0.7473660110176328
38,39.579871873473024,18.776494693756103,0.2,0.47439503477373224
39,40.4462760141174,18.467102336883546,0,0.45658350178982543
40,40.154697372339506,9.189412569999694,0,0.2288502509380087
41,38.65975609037458,9.11215353012085,0,0.23570126797539662
42,39.93452373967445,15.663636827468872,0,0.392232969387018
43,38.98202835412073,15.157144331932068,0,0.388823900958705
44,39.5182214142101,16.339275360107422,0.2,0.4134618101570757
45,39.526803048530084,6.112568640708924,0,0.15464363847498758
46,40.64634709133238,25.67406268119812,0.4,0.6316450190101579
47,39.6855210541182,19.250148057937622,0,0.485067287681234
48,38.78856849558255,9.129620385169982,0,0.23536884033783592
49,38.797205990815286,21.377705812454224,0,0.5510114779274339
50,39.73143626199424,14.410277438163757,0,0.3626920845030751
51,40.89249543105645,25.697717952728272,0.6,0.6284213688072392
