generation,track_length,average_distance,proportion_completed_track,average_proportion_of_track_completed
0,32.672809693534006,10.779524072011311,0.13333333333333333,0.32992338807472055
1,34.943811065389966,3.3499746163686117,0,0.09586746591835223
2,36.75495408022795,4.379621434211731,0,0.1191573093698331
3,34.777692633826156,5.520381156603495,0,0.1587333931186152
4,38.343657568877404,4.349579874674479,0,0.11343674939880866
5,37.13367701301296,6.844492117563884,0.06666666666666667,0.18432034390683505
6,35.796293538523535,3.4967451254526773,0,0.09768455836606443
7,36.38113597383048,2.0890591939290366,0,0.057421494354429434
8,31.58510701575673,4.455024154980977,0,0.14104825267042845
9,36.986029545183435,4.570764629046122,0,0.12358084079996517
10,34.45161226123946,4.888890616099039,0,0.14190600367343018
11,38.34325945378176,5.132807882626851,0.06666666666666667,0.1338646728459233
12,32.72971242246164,6.193889904022217,0,0.18924363966520813
13,36.065744714971174,4.0460463762283325,0,0.11218529960227847
14,36.35582282219695,4.211373670895894,0,0.11583766626579145
15,33.479283788090285,9.978934701283773,0,0.29806296826557616
16,35.9642084164893,6.9735465288162235,0,0.19390240563779262
17,35.49717932051924,5.713494213422139,0,0.160956287873821
18,33.85409726618232,4.750886861483256,0,0.140334176514257
19,35.01812588505609,7.524233881632487,0,0.21486683514503666
20,31.75686452991769,6.489724493026733,0,0.20435658838147752
21,37.63877010281215,5.740395510196686,0,0.15251283435979746
22,38.397703762151934,7.728383310635885,0,0.201272017683871
23,33.498258984699405,3.8723666270573935,0,0.11559904139573725
24,37.004898298678214,7.431382258733113,0,0.2008215830983261
25,37.201374543934534,6.953759694099427,0,0.1869221172429285
26,35.33270973667172,2.9228541056315103,0,0.08272374599669859
27,37.3837331062737,2.3497013886769613,0,0.06285357810567711
28,34.66808514030963,7.359161504109701,0,0.21227481916943206
29,35.72467877460325,6.19720610777537,0,0.17347128988549443
30,34.988783216261524,4.780722578366597,0,0.136635862665401
31,36.32163463734037,3.9308108568191527,0,0.10822230045720718
32,33.740103266015346,4.992392774422964,0,0.14796613795345262
33,35.45916185553531,4.637818686167399,0,0.13079324054703842
34,34.24110485939505,2.4390390237172443,0,0.07123131784832061
35,35.11486372577068,4.414902377128601,0,0.12572745295572707
36,34.78370151468699,3.1825979868570964,0,0.09149681742505994
37,37.37066661696722,2.0076966683069863,0,0.053723865535634886
38,35.51480607196517,4.639470958709717,0,0.13063483858840616
39,35.2152590294219,5.229921396573385,0,0.14851293276598795
40,38.140556488523885,2.4197839577992757,0,0.06344385558525778
41,37.230570964122144,8.638111925125122,0,0.2320166385159492
42,35.16321427542766,7.818679698308309,0,0.22235395311321313
43,34.92459989530063,9.212290191650391,0.06666666666666667,0.2637765420153024
44,37.33098073867278,5.99398896296819,0,0.16056339384512225
45,32.57502094339514,2.924552814165751,0,0.08977900027286795
46,33.94683767869896,7.321569220225016,0.06666666666666667,0.2156775040291653
